month,region,index_name,value,index_source,change_vs_prior,notes
2026-05,LATAM,Consumer_Confidence_Index,96.4,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2026-06,LATAM,Consumer_Confidence_Index,96.3,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2026-07,LATAM,Consumer_Confidence_Index,95.8,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2026-08,LATAM,Consumer_Confidence_Index,95.1,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2026-09,LATAM,Consumer_Confidence_Index,94.3,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2026-10,LATAM,Consumer_Confidence_Index,93.6,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2026-11,LATAM,Consumer_Confidence_Index,93.2,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2026-12,LATAM,Consumer_Confidence_Index,93.7,synthetic_baseline,+0.5,Synthetic regional sentiment baseline for prototype use
2022-01,MEA,Consumer_Confidence_Index,93.0,synthetic_baseline,,Synthetic regional sentiment baseline for prototype use
2022-02,MEA,Consumer_Confidence_Index,93.7,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2022-03,MEA,Consumer_Confidence_Index,93.3,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2022-04,MEA,Consumer_Confidence_Index,94.0,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2022-05,MEA,Consumer_Confidence_Index,94.4,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2022-06,MEA,Consumer_Confidence_Index,95.5,synthetic_baseline,+1.1,Synthetic regional sentiment baseline for prototype use
2022-07,MEA,Consumer_Confidence_Index,95.0,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2022-08,MEA,Consumer_Confidence_Index,94.3,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2022-09,MEA,Consumer_Confidence_Index,93.5,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2022-10,MEA,Consumer_Confidence_Index,92.8,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2022-11,MEA,Consumer_Confidence_Index,92.4,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2022-12,MEA,Consumer_Confidence_Index,92.5,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2023-01,MEA,Consumer_Confidence_Index,93.7,synthetic_baseline,+1.2,Synthetic regional sentiment baseline for prototype use
2023-02,MEA,Consumer_Confidence_Index,94.4,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2023-03,MEA,Consumer_Confidence_Index,95.2,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2023-04,MEA,Consumer_Confidence_Index,95.9,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2023-05,MEA,Consumer_Confidence_Index,96.3,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2023-06,MEA,Consumer_Confidence_Index,96.2,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2023-07,MEA,Consumer_Confidence_Index,95.7,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2023-08,MEA,Consumer_Confidence_Index,95.0,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2023-09,MEA,Consumer_Confidence_Index,94.2,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2023-10,MEA,Consumer_Confidence_Index,93.5,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2023-11,MEA,Consumer_Confidence_Index,93.1,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2023-12,MEA,Consumer_Confidence_Index,93.2,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2024-01,MEA,Consumer_Confidence_Index,94.4,synthetic_baseline,+1.2,Synthetic regional sentiment baseline for prototype use
2024-02,MEA,Consumer_Confidence_Index,95.1,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2024-03,MEA,Consumer_Confidence_Index,95.9,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2024-04,MEA,Consumer_Confidence_Index,96.6,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2024-05,MEA,Consumer_Confidence_Index,97.0,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2024-06,MEA,Consumer_Confidence_Index,96.9,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2024-07,MEA,Consumer_Confidence_Index,96.4,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2024-08,MEA,Consumer_Confidence_Index,95.7,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2024-09,MEA,Consumer_Confidence_Index,94.9,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2024-10,MEA,Consumer_Confidence_Index,94.2,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2024-11,MEA,Consumer_Confidence_Index,93.8,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2024-12,MEA,Consumer_Confidence_Index,93.9,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2025-01,MEA,Consumer_Confidence_Index,95.1,synthetic_baseline,+1.2,Synthetic regional sentiment baseline for prototype use
2025-02,MEA,Consumer_Confidence_Index,95.8,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2025-03,MEA,Consumer_Confidence_Index,96.6,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2025-04,MEA,Consumer_Confidence_Index,97.3,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2025-05,MEA,Consumer_Confidence_Index,97.7,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2025-06,MEA,Consumer_Confidence_Index,97.6,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2025-07,MEA,Consumer_Confidence_Index,97.1,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2025-08,MEA,Consumer_Confidence_Index,96.4,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2025-09,MEA,Consumer_Confidence_Index,95.6,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2025-10,MEA,Consumer_Confidence_Index,94.9,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2025-11,MEA,Consumer_Confidence_Index,94.5,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2025-12,MEA,Consumer_Confidence_Index,94.6,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2026-01,MEA,Consumer_Confidence_Index,95.8,synthetic_baseline,+1.2,Synthetic regional sentiment baseline for prototype use
2026-02,MEA,Consumer_Confidence_Index,96.5,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2026-03,MEA,Consumer_Confidence_Index,97.3,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2026-04,MEA,Consumer_Confidence_Index,98.0,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2026-05,MEA,Consumer_Confidence_Index,98.4,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2026-06,MEA,Consumer_Confidence_Index,98.3,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2026-07,MEA,Consumer_Confidence_Index,97.8,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2026-08,MEA,Consumer_Confidence_Index,97.1,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2026-09,MEA,Consumer_Confidence_Index,96.3,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2026-10,MEA,Consumer_Confidence_Index,95.6,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2026-11,MEA,Consumer_Confidence_Index,95.2,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2026-12,MEA,Consumer_Confidence_Index,95.3,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
